序号,题目,答案,正确答案
1,关于“公说公有理，婆说婆有理”的说法，错误的是(    ),A、价值评价中不存在一个完全客观的标准 B、价值评价具有主体性特征 C、价值评价完全因人而异，不同的立场有不同的评价，无所谓正确错误之分 D、评价是以主客体的价值关系为认识对象的 ,正确答案： AC
2,真理和价值在实践中的辩证统一关系，主要体现在(    ),A、成功的实践必然是以真理和价值的辩证统一为前提的 B、价值的形成和实现以坚持真理为前提，而真理又必然是具有价值的 C、真理和价值在实践和认识活动中是相瓦制约、相互引导、相互促进的 D、在实践中真理仅仅是实践追求的价值日标而不是制约实践的客观尺度 ,正确答案： ABC
3,社会存在与社会意识的辩证关系是（）。,A、社会存在决定社会意识 B、社会意识决定社会存在 C、社会存在和社会意识相互决定 D、社会意识有相对独立性 ,正确答案： AD
4,社会意识的相对独立性表现为（）。,A、社会意识与社会存在的发展不完全同步 B、社会意识内部各种形式之间相互影响并各具有历史继承性 C、社会存在对社会意识只有决定作用 D、社会意识对社会存在有能动的反作用 ,正确答案： ABD
5,生产力具有复杂的系统结构，基本要素包括（）。,A、劳动资料 B、人与人的关系 C、劳动对象 D、劳动者 ,正确答案： ACD
6,下列各项属于生产关系内容的是（ ）。,A、生产资料的所有制关系 B、产品的分配方式 C、人们在政治上的统治和被统治关系 D、生产中人与人的关系 ,正确答案： ABD
7,社会发展的动力系统包括（）。,A、社会基本矛盾 B、阶级斗争 C、改革 D、科学技术 ,正确答案： ABCD
8,社会基本矛盾是社会发展的根本动力，因为（）。,A、生产力是社会基本矛盾运动中最基本的动力因素 B、社会基本矛盾运动决定着社会中其他矛盾的存在和发展 C、社会基本矛盾从根本上影响和促进社会形态的变化和发展 D、社会基本矛盾只在阶级社会中发挥作用 ,正确答案： ABC
9,“每一个社会时代都需要有自己的伟大人物，如果没有这样的人物，它就要把他们创造出来的”。这种观点（ ）。,A、正确说明了杰出人物的产生和作用 B、体现了偶然性和必然性的统一 C、否认了人民群众是历史发展的决定力量 D、违背了党的群众观点和群众路线 ,正确答案： AB
10,社会基本矛盾不包括（ ）。,A、革命与改革的矛盾 B、生产力与生产关系的矛盾 C、经济基础与上层建筑的矛盾 D、统治阶级与被统治阶级的矛盾 ,正确答案： AD
11,下列关于人民群众的正确说法，有（ ）。,A、人民群众是一个历史范畴 B、从质上看，人民群众是指一切对社会历史发展起推动作用的人们 C、从量上看，人民群众是指社会人口中绝大多数 D、在不同的历史时期，人民群众有着不同内容，包含着不同的阶级、阶层和集团 ,正确答案： ABCD
12,中国共产党在工作中的群众路线，指（ ）。,A、一切为了群众 B、一切依靠群众 C、从群众中来 D、到群众中去 ,正确答案： ABCD
13,唯物史观主张，评价历史人物时，应坚持（ ）的方法。,A、道德分析法 B、历史分析方法 C、以今论古方法 D、阶级分析方法 ,正确答案： BD
14,影响商品价格的因素有( )。,A、劳动时间 B、商品价值 C、供求关系 D、商品使用价值 ,正确答案： BC
15,资本主义政治制度的历史和阶级局限性表现在( )。,A、金钱操纵下的民主 B、法律名义上的平等掩盖着事实上的不平等 C、政党制是一种维护资产阶级统治的政治制度 D、整个政治制度维护着广大人民的利益 ,正确答案： ABC
16,下列关于使用价值与价值，正确的说法有( ),A、使用价值反映的是人与自然之间的物质关系 B、价值体现了生产者之间一定的社会关系 C、使用价值构成了社会财富的物质内容 D、商品的价值和使用价值之间是对立统一的关系 ,正确答案： ABCD
17,价值规律的积极作用，包括( ),A、自发调节生产资料和劳动力在社会各生产部门之间的分配 B、自发地刺激社会生产力的发展 C、自发地调节社会收入的分配 D、阻碍技术的进步 ,正确答案： ABC
18,资本家生产剩余价值的最基本方法有（ ）,A、内含扩大再生产 B、外延扩大再生产 C、绝对剩余价值生产 D、相对剩余价值生产 ,正确答案： CD
19,私人垄断资本主义向国家垄断资本主义过渡( ),A、是资本主义生产社会化的客观要求 B、是资本主义基本矛盾发展的必然结果 C、在一定程度上促进了资本主义生产的发展 D、能够从根本上解决资本主义的基本矛盾 ,正确答案： ABC
20,资本主义的发展经历了两个阶段，( ),A、自由竞争资本主义 B、私人垄断资本主义 C、国家垄断资本主义 D、垄断资本主义 ,正确答案： AD
21,当代资本主义发生新变化的原因主要有( ),A、科学技术革命和生产力的发展是根本推动力量 B、工人阶级争取自身权利和利益的斗争是重要力量 C、社会主义制度初步显示的优越性对当代资本主义产生了重要影响 D、主张改良主义的政党对资本主义制度的改革，发挥了重要作用 ,正确答案： ABCD
22,关于国家垄断资本主义对资本主义经济发展作用错误的认识是( ),A、在一定程度上促进了社会生产力的发展、 B、解决了垄断资本主义内在矛盾的深化与尖锐 C、从根本上解决了失业问题 D、从根本上消除了经济危机 ,正确答案： BCD
23,经济全球化的表现有( ),A、国际分工进一步深化 B、贸易全球化 C、金融全球化 D、企业生产经营全球化 ,正确答案： ABCD
24,资本主义国家的宪法的基本原则包括( ),A、私有制原则 B、主权在民原则 C、分权与制衡原则 D、人权原则 ,正确答案： ABCD
25,资本主义制度的历史进步性主要表现在( ),A、促使科学技术转变为生产力 B、追求剩余价值的动力和竞争的压力推动了生产力发展 C、资本主义政治制度促进和完善了资本主义生产方式 D、资本主义意识形态促进和完善了资本主义生产方式 ,正确答案： ABCD
26,资本主义为社会主义所代替的历史必然性表现在( ),A、资本主义的内在矛盾决定了资本主义必然被社会主义所代替 B、资本积累推动资本主义最终否定资本主义自身 C、国家垄断资本主义为向社会主义过渡准备了条件 D、资本主义生产关系的调整促进了生产力的发展 ,正确答案： ABCD
27,资本主义必然为社会主义所代替，并不意味着资本主义将在短期内自行消亡。资本主义向社会主义的过渡必然是一个复杂的、长期的历史过程，其原因在于,A、任何社会形态的存在都有绝对稳定性 B、资本主义的发展具有不平衡性 C、资本主义社会具有一定的自我调节能力 D、当代资本主义的发展还显示出生产关系对生产力容纳的空间 ,正确答案： BCD
28,属于１６－１７世纪空想社会主义者是（）,A、摩莱里 B、莫尔 C、马布利 D、康帕内拉 ,正确答案： BD
29,属于１９世纪法国的空想社会主义者是（）,A、莫尔 B、圣西门 C、傅立叶 D、欧文 ,正确答案： BC
30,率先进入社会主义国家，导致其社会主义建设具有艰巨性和长期性的原因有（）,A、生产力发展状况制约 B、经济基础发展状况制约 C、上层建筑发展状况制约 D、国际环境的严峻挑战 ,正确答案： ABCD
31,下列选项中属于共产主义含义的有（ ）,A、共产主义是一种科学理论 B、共产主义是一种现实运动 C、共产主义是一种社会制度 D、共产主义是一种社会理想 ,正确答案： ABCD
32,下属现象中属于共产主义社会特征的有（ ）,A、社会财富极大丰富，消费品按需分配 B、社会财富极大丰富，消费品按劳分配 C、社会关系高度和谐，人们的精神境界极大提高 D、每个人自由而全面的发展 ,正确答案： ACD
33,马克思和恩格斯认为在共产主义社会将要消失的“三大差别”有（ ）,A、资产阶级和无产阶级的差别 B、工业和农业的差别 C、城市与乡村的差别 D、脑力劳动与体力劳动的差别 ,正确答案： BCD
34,共产主义是能够实现的社会理想的根据是（ ）,A、以人类社会发展规律为依据的 B、以资本主义社会基本矛盾的发展为依据的 C、可以用社会主义运动的实践来证明的 D、要靠社会主义的不断完善和发展来实现的 ,正确答案： ABCD
35,社会主义代替资本主义和最后实现共产主义的历史进程（ ）,A、离不开工人阶级及其政党的能动性 B、离不开社会主义国家建设事业的发展 C、离不开世界社会主义运动的发展 D、离不开马克思主义理论的指导 ,正确答案： ABCD
36,关于共产主义理想，下列提法正确的有（ ）,A、共产主义渺茫论 B、共产主义是能够实现的理想 C、在社会主义历史阶段不应树立共产主义理想 D、共产主义理想的实现是一个漫长的历史过程 ,正确答案： BD
37,关于共产主义理想，正确的观点有（ ）,A、人从自然必然性奴役下解放出来 B、人类完全摆脱了自然的束缚 C、社会主义是实现共产主义理想的必经阶段 D、共产主义是能够实现的理论 ,正确答案： ACD
38,作为一个完整的科学体系，马克思主义理论体系的三个组成部分是（）,A、马克思主义政治学 B、马克思主义政治经济学 C、科学社会主义 D、马克思主义哲学 ,正确答案： BCD
39,下列选项中，属于人类社会发展的基本规律的有（ ）,A、生产关系必须适合生产力性质的规律 B、上层建筑必须适合经济基础发展要求的规律 C、对立统一规律 D、质量互变规律 ,正确答案： AB
40,科学技术也是生产力，因为（）,A、它能引起劳动对象的变革，促进劳动者素质的提高 B、它属于上层建筑 C、它可以提高劳动生产率 D、它可以提高管理效率 ,正确答案： ACD
41,绝对剩余价值生产和相对剩余价值生产的共同点是（）,A、都体现着资本家对对工人的剥削关系 B、都延长了剩余劳动时间 C、都增加了剩余价值量 D、都提高了剩余价值率 ,正确答案： ABCD
42,国家垄断资本主义的基本形式有（）,A、国营企业 B、国私合营企业 C、国家与私人垄断资本在国际范围内的结合 D、国家调节经济 ,正确答案： ABD
43,下列选项中属于唯心主义观点的有（ ）,A、有无相生难易相成 B、心外无物，心外无理 C、未有天地之先，毕竟是先有理 D、存在就是被感知 ,正确答案： BCD
44,商品的价值与价格的关系是（ ）,A、价值是价格的基础 B、价格是价值的基础 C、价值是价格的货币表现 D、价格是价值的货币表现 ,正确答案： AD
45,资本主义政治制度包括（）,A、资本主义的民主与法制 B、政治组织形式 C、选举制度 D、政党制度 ,正确答案： ABCD
46,下列哪几个国家建立过社会主义（ ）,A、南斯拉夫 B、罗马尼亚 C、奥地利 D、匈牙利 ,正确答案： ABD
47,下列科学发展中，属于马克思主义哲学产生的自然科学前提的有（）,A、达尔文的生物进化论 B、爱因斯坦的相对论 C、宇宙大爆炸论 D、细胞学说 ,正确答案： AD
48,意识的本质是（ ）,A、人脑的机能 B、人脑分泌的特殊物质 C、客观存在的主观映像 D、人脑中进行的各种生理过程 ,正确答案： AC
49,下列命题中，属于量变引起的质变表现的有（）,A、积羽沉舟，集腋成裘 B、绳锯木断，水滴穿石 C、千里之堤，溃于蚁穴 D、不积细流，无以成江海 ,正确答案： ABCD
50,下列各项中属于生产关系内容的有（ ）,A、生产资料所有制形式 B、产品的分配形式 C、社会的公平程度 D、人们在生产中的地位及相互关系 ,正确答案： ABD
51,资本主义生产过程的结果是（ ）,A、生产出新的使用价值 B、转移了生产资料价值 C、再生产出劳动力的价值 D、创造了剩余价值 ,正确答案： ABCD
52,列宁物质定义的理论意义在于它（ ）,A、坚持了唯物主义一元论 B、坚持了能动的反映论和可知论 C、坚持了矛盾是实物发张的动力 D、体现了唯物论和辩证法的统一 ,正确答案： ABD
53,下列选项中，包含矛盾双方相互依存和相互转化的有( ),A、祸兮福所倚，福兮祸所伏 B、贫生于富，弱生于强 C、有无相生，难易相成 D、量体裁衣，对症下药 ,正确答案： ABC
54,社会意识对社会存在有相对独立性，其主要表现在（ ）,A、两者变化的完全同步性 B、社会意识与经济发展的不平衡性 C、社会意识决定社会发展的基本趋势 D、社会意识具有历史继承性 ,正确答案： BD
55,不变资本是资本主义生产过程中( ),A、以生产资料形式存在的资本 B、以劳动力形式存在的资本 C、价值量不发生增殖的资本 D、价值发生增殖的资本 ,正确答案： AC
56,经济全球化表现为( ),A、利益的全球化 B、企业经营的全球化 C、生产的全球化 D、贸易的全球化 ,正确答案： BCD
57,产生资本循环的形式有( ),A、生产资本的循环 B、货币资本的循环 C、商品资本的循环 D、流动资本的循环 ,正确答案： ABC
58,资本主义的社会总产品从价值构成上包括( ),A、生产资料 B、消费资料 C、不变资本 D、可变资本 ,正确答案： CD
59,“三个代表”重要思想的哲学依据包括历史唯物主义的下列观点( ),A、生产关系一定要适合生产力状况 B、真理的绝对性和相对性 C、上层建筑反作用于经济基础 D、人民群众是历史的创造者 ,正确答案： ACD
60,认识过程中存在的两个飞跃是指( ),A、相对真理向绝对真理的飞跃 B、感性认识向理性认识的飞跃 C、错误认识向正确认识的飞跃 D、理性认识向实践的飞跃 ,正确答案： BD
61,下列思想体系不属于上层建筑的有( ),A、形式逻辑 B、政治学和法学 C、自然科学 D、语言学 ,正确答案： ACD
62,下列关于劳动二重性理论的说法中正确的是( ),A、具体劳动创造商品的使用价值 B、抽象劳动形成商品的价值 C、具体劳动和抽象劳动是两个劳动过程 D、具体劳动和抽象劳动是同一劳动过程的两个方面 ,正确答案： ABD
63,下列选项中反映矛盾的同一性在事物发展中的作用有( ),A、矛盾双方相互排斥，推动着事物的发展 B、矛盾双方相互依存，为事物的存在和发展提供必要的统一体 C、矛盾双方互相从对方吸取有利于自身的因素而得到发展 D、矛盾的同一性规定了事物向着自己的对立面转化的基本趋势 ,正确答案： BCD
64,以下属于主观唯心主义观点的有( ),A、人的命，天注定 B、自由选择的意志高于一切 C、心外无物 D、存在即被感知 ,正确答案： BCD
65,矛盾的主要方面是指( ),A、占主导地位的矛盾 B、起决定作用的矛盾 C、占主导地位的矛盾方面 D、决定事物的性质 ,正确答案： CD
66,以下属于社会意识形态的有( ),A、逻辑理论 B、自然科学理论 C、法律思想 D、政治思想 ,正确答案： CD
67,国家垄断资本主义的主要形式有( ),A、国家所有并直接经营的企业 B、国家与私人共有，合营企业 C、宏观调节和微观规制 D、社会主义性质的资本主义形式 ,正确答案： ABCD
68,共产主义社会的基本特征有( ),A、物质财富极大丰富 ，消费资料按需分配 B、社会关系高度和谐，人们精神境界极大提高 C、每个人自由而全面发展 D、人类必然王国向自由王国的飞跃 ,正确答案： ABCD
69,下列选项中，属于矛盾斗争性表现的有( ),A、敌对阶级之间的对立 B、生物界的生存竞争 C、人民内部不同意见的分歧 D、两岸同胞与“台独”势力的对立 ,正确答案： ABCD
70,依据辩证唯物主义的物质定义，指明下列现象属于物质现象的是( ),A、山谷回音，潮起潮落 B、上层建筑的意识形态 C、阶级斗争 D、未实施的城市建设计划 ,正确答案： AC
71,商品的价值是( ),A、凝结在商品中的无差别的一般人类劳动 B、商品所特有的社会属性 C、交换价值的基础 D、一定的社会生产关系的体现 ,正确答案： ABCD
72,作为一个完整的科学体系，马克思主义理论体系的主要组成部分是（ ）。,A、马克思主义政治学 B、马克思主义政治经济学 C、科学社会主义 D、马克思主义哲学 ,正确答案： BCD
73,19世纪30-40年代，以下哪些工人运动的兴起，标志着现代无产阶级作为独立的政治力量登上了历史舞台。（ ）,A、法国里昂工人起义 B、英国宪章运动 C、美国芝加哥工人起义 D、德国西里西亚纺织工人起义 ,正确答案： ABD
74,马克思主义创立的直接理论渊源是（ ）,A、德国古典哲学 B、英国古典政治经济学 C、法国英国的空想社会主义 D、法国启蒙思想 ,正确答案： ABC
75,不是马克思一生的两个伟大发现是（ ）,A、共产主义学说 B、唯物史观 C、剩余价值学说 D、劳动价值论 ,正确答案： AD
76,下列属于马克思主义最重要的理论品质，有（ ）,A、坚持一切从理想出发 B、理论联系实际 C、实事求是 D、在实践中检验真理和发展真理 ,正确答案： BCD
77,马克思主义，包括（ ）,A、马克思、恩格斯创立的马克思主义 B、列宁发展了的马克思主义 C、毛泽东思想 D、马克思主义中国化的理论成果 ,正确答案： ABCD
78,下列关于马克思主义，正确的说法有（ ）,A、马克思主义是无产阶级争取自身解放和整个人类解放的科学理论 B、马克思主义是无产阶级的科学世界观和方法论 C、马克思主义关于自然、社会和人类思维发展一般规律的学说 D、马克思主义包括辩证唯物主义和历史唯物主义 ,正确答案： ABCD
79,下列属于马克思主义的方法，有（ ）,A、实事求是的方法 B、辩证分析的方法 C、历史分析的方法 D、群众路线的方法 ,正确答案： ABCD
80,思维与存在的关系问题是哲学的基本问题，因为（ ）,A、它是划分辩证法和形而上学的唯一标准 B、它是划分唯物主义和唯心主义哲学的基本标准 C、它是任何哲学派别都不能回避而必须回答的问题 D、它是实际工作中正确处理主观和客观关系的根本问题 ,正确答案： BCD
81,辩证的否定观，指（ ）,A、否定是事物的自我否定 B、否定是事物发展的环节 C、否定是新旧事物联系的环节 D、否定是“扬弃”。 ,正确答案： ABCD
82,马克思主义哲学与旧唯物主义相比，在内容上的革命变革表现在它实现了（ ）,A、唯物主义和辩证法的统一 B、世界观和方法论的统一 C、唯物辩证的自然观和历史观的统一 D、感性认识和理性认识的统一 ,正确答案： AC
83,从意识的起源来看，意识是（ ）,A、自然界长期发展的产物 B、人脑的机能和属性 C、意识是社会的产物 D、意识是客观世界的主观映象 ,正确答案： AC
84,“巧妇难为无米之炊”的哲学意义是（ ）,A、意识是第一性的，物质是第二性的 B、物质是第一性的，意识是第二性的 C、主观能动性的发挥，必须尊重客观规律 D、画饼不能充饥 ,正确答案： BC
85,我国古代哲学家王夫之认为：“动静者，乃阴阳之动静也。”“皆本物之固然。”“静者静动，非不动也。”“静即含动，动不含静。”“动、静，皆动也。”这在哲学上表达了（ ）,A、运动和静止都是物质的固有属性 B、静止是运动的特殊状态，是缓慢不显著的运动 C、静止是相对的，运动是绝对的 D、运动是静止的总和 ,正确答案： BC
86,下列哪些说法不是对矛盾特殊性原理的具体运用（ ）,A、对症下药，量体裁衣 B、因材施教，因地制宜 C、物极必反，相反相成 D、欲擒故纵，声东击西 ,正确答案： CD
87,联系，具有（ ）特点,A、客观性 B、普遍性 C、多样性 D、条件性 ,正确答案： ABCD
88,唯物辩证法的总特征不是（ ）,A、联系的观点 B、发展的观点 C、矛盾的观点 D、实践的观点 ,正确答案： CD
89,下列格言或成语中，没有体现质量互变规律的有（ ）,A、九层之台，起于垒土 B、有无相生，前后相随 C、月晕而风，础润而雨 D、千里之堤，溃于蚁穴 ,正确答案： BC
90,构成联系与发展的基本环节的有（ ）,A、原因与结果 B、现象与本质 C、必然性与偶然性 D、内容与形式 ,正确答案： ABCD
91,下列关于量变与质变相互关系，正确说法（ ）,A、量变是质变的必要准备 B、质变是量变的必然结果 C、量变与质变相互渗透 D、揭示了事物发展的动力和源泉 ,正确答案： ABC
92,感性认识和理性认识的辩证关系，是（ ）,A、感性认识有待于发展和深化为理性认识 B、理性认识依赖于感性认识 C、感性认识和理性认识相互渗透、相互包含 D、感性认识和理性认识在实践的基础上统一起来 ,正确答案： ABCD
93,实践客体从能否为实践所创造的角度看分为二类（ ）,A、天然客体 B、人工客体 C、物质性客体 D、精神性客体 ,正确答案： AB
94,实践中介不包括（ ）,A、各种实践工具 B、各种操作方法 C、矿石 D、自然界 ,正确答案： CD
95,实践活动的类型有（ ）,A、物质生产实践 B、社会政治实践 C、科学实践 D、文化实践 ,正确答案： ABCD
96,真理和价值在实践中的辩证统一关系，主要体现在(    ),A、成功的实践必然是以真理和价值的辩证统一为前提的 B、价值的形成和实现以坚持真理为前提，而真理又必然是具有价值的 C、真理和价值在实践和认识活动中是相瓦制约、相互引导、相互促进的 D、在实践中真理仅仅是实践追求的价值日标．而不是制约实践的客观尺度 ,正确答案： ABC
97,辩证唯物主义认识论第一的和基本的观点是（  ）,A、认识是主体对客体的反映 B、实践是认识的基础 C、认识是一个辩证发展过程 D、认识是从物到感觉和思想的过程 ,正确答案： B
98,实践是认识的来源表明（  ）,A、 只要参加实践活动就能获得正确认识  B、 一切认识都要直接参加实践活动才能获得  C、 一切认识归根到底都是从实践中获得的  D、 只有直接经验来自实践  ,正确答案： C
99,习近平指出：“我们党现阶段提出和实施的理论和路线方针政策，之所以正确，就是因为它们都是以我国现时代的社会存在为基础。”这里是强调（  ）,A、 读书可以获得真知  B、 实践是认识发展的动力  C、 实践是认识的来源  D、 实践是认识的目的  ,正确答案： C
100,直接经验与间接经验的关系是（  ）,A、 第一性和第二性的关系  B、 感性认识和理性认识的关系  C、 认识的“源”与“流”的关系  D、 唯物主义反映论与唯心主义先验论的关系  ,正确答案： C
101,当代，自然科学的发展日新月异，新的研究成果层出不穷。从根本上说这是 由（   ）,A、 科学家的聪明才智决定的  B、 正确的科技决策决定的  C、 环境和资源状况决定的  D、 生产实践的需要决定的  ,正确答案： D
102,中国工程院院士袁隆平曾结合自己的科研经历，语重心长地对年轻人说：“书本知识虽然重要，电脑技术也很重要，但是书本电脑里面种不出水稻来，只有在田里才能种出水稻来。”这表明（  ）,A、 实践是认识的基础和来源  B、 实践水平的提高有赖于认识水平的提高  C、 由实践到认识的第一次飞跃比认识到实践的第二次飞跃更重要  D、 理论对实践的指导作用没有正确与错误之分  ,正确答案： A
103,一切真知都来源于（  ）,A、 间接经验  B、 社会实践  C、 人的意识  D、 客观事物  ,正确答案： B
104,马克思主义认识论认为，能动的反映是（  ）,A、 摹写和创造的统一  B、 可知论与不可知论的统一  C、 物质性与精神性的统一  D、 真理的本性与实践特点的统一  ,正确答案： A
105,认识的初级阶段是（  ）,A、 直接认识  B、 全面认识  C、 理性认识  D、 感性认识  ,正确答案： D
106,感觉、知觉、表象，它们是（  ）,A、 社会心理的三种形式  B、 社会意识形态的三种形式  C、 感性认识的三种形式  D、 理性认识的三种形式  ,正确答案： C
107,概念、判断、推理是（  ）,A、 感性认识的三种形式  B、 理性认识的三种形式  C、 社会意识形态的三种形式  D、 社会心理的三种形式  ,正确答案： B
108,人类社会发展和进步的最终决定力量是（  ）,A、生产方式 B、人民群众 C、生产关系 D、生产力 ,正确答案： D
109,由感性认识上升到理性认识的过程是（  ）,A、 完全自发的过程  B、 积极能动的过程  C、 消极被动的过程  D、 主观随意的过程  ,正确答案： B
110,认为只有书本理论可靠，不顾实际情况，死搬书本教条，这在认识论上犯了（   ）,A、 类似唯心先验论的错误  B、 类似旧唯物主义认识论的错误  C、 类似唯理论的错误  D、 类似经验论的错误  ,正确答案： C
111,一个完整的认识需要经过两次飞跃。下列选项中属于第二次飞跃的是（  ）,A、 调查研究，了解情况  B、 深入思考，形成理论  C、 精心安排，制定计划  D、 执行计划，付诸实践  ,正确答案： D
112,在认识过程中更为重要意义的飞跃是指（  ）,A、 从外在形象到内在本质的飞跃  B、 从个性认识到共性认识的飞跃  C、 从肯定阶段到否定阶段的飞跃  D、 从理性认识到实践的飞跃  ,正确答案： D
113,马克思主义揭示了社会发展的客观规律，为无产阶级革命斗争指明了方向。 这说明（  ）,A、 实践是认识发展的动力  B、 实践是检验真理的标准  C、 科学理论对实践具有指导作用  D、 科学理论对实践具有决定作用  ,正确答案： C
114,真理就是（  ）,A、 客观事物及其规律  B、 大多数人同意的观点  C、 对人类生存有用的理论  D、 对客观事物本质及其规律的正确反映  ,正确答案： D
115,生产力的基本要素包括（  ）,A、生产者，生产方式，生产关系 B、生产关系，生产对象，生产工具 C、劳动者，劳动资料，劳动工具 D、劳动资料，劳动对象，劳动者 ,正确答案： D
116,真理是没有阶级性的，在真理面前人人平等。这是因为（  ）,A、 真理是绝对性和相对性的统一，真理是不断发展的  B、 真理是具体的，任何真理都有其适用的条件和范围  C、 真理就是客观规律，真理与人的阶级地位无关  D、 真理具有客观性，真理中包含着不依赖于人类的客观内容  ,正确答案： D
117,在真理观上坚持辩证法，就必须承认（  ）,A、 真理的内容是客观的，形式是主观的  B、 真理既是绝对的又是相对的  C、 真理既是正确的又包含错误因素  D、 真理既是普遍的又是具体的  ,正确答案： B
118,坚持绝对真理和相对真理辩证统一的观点是（  ）,A、 真理问题上的唯物论  B、 真理问题上的一元论  C、 真理问题上的辩证法  D、 真理问题上的二元论  ,正确答案： C
119,任何科学理论都不能穷尽真理，而只能在实践中不断开辟认识真理的道路。 这说明（  ）,A、 真理具有绝对性  B、 真理具有相对性  C、 真理具有客观性  D、 真理具有全面性  ,正确答案： B
120,谬误与真理的关系是对立统一的，因此谬误（   ),A、永远也不能变为真理 B、在一定条件下可以变为真理 C、是对客观事物的正确反映 D、包含在相对真理之中的 ,正确答案： B
121,真理的发展是一个(  ),A、 真理和谬误相调和的过程  B、 真理和谬误相补充的过程  C、 客观真理与主观真理相互转化的过程  D、 相对真理逐渐向绝对真理转化的过程  ,正确答案： D
122,实践是检验真理的唯一标准，这主要是因为( ),A、实践具有把主观和客观联系起来的特性 B、实践是一个无限发展的过程 C、实践是人类生存和发展的基础 D、实践是认识的来源和目的 ,正确答案： A
123,实践之所以是驳斥不可知论的最有力的论据，是因为（  ）,A、 实践本身是社会物质活动  B、 坚持实践的观点就是坚持唯物论  C、 实践的成功证明我们对客观事物的认识是正确的  D、 世界不存在永远不能认识的事物  ,正确答案： C
124,一种认识是不是真理，要看它（  ）,A、能否满足人的需要 B、能否被多数人认可 C、能否付诸实践 D、能否在实践中得到证实 ,正确答案： D
125,把经过实践证实的理论看成绝对真理，并当成检验其它一切认识真理性的标准，这是一种（  ）,A、 形而上学的观点  B、 唯物辩证法的观点  C、 相对主义的观点  D、 经验论的观点  ,正确答案： A
126,解放思想，就是要（  ）,A、 不受任何约束，做到随心所欲  B、 不受任何框框的束缚，思想上达到绝对自由  C、 突破落后观念的束缚，坚持实事求是  D、 抛弃原有的一切观念，重新评价一切  ,正确答案： C
127,实践是检验真理的唯一标准，主要是因为实践是一种（   ）,A、客观物质性活动 B、自觉能动性活动 C、社会历史性活动 D、主观见之于客观的活动 ,正确答案： D
128,马克思主义科学体系的哲学基础是( ),A、辩证唯物主义与历史唯物主义 B、唯心主义 C、古代朴素唯物主义 D、近代形而上学唯物主义 ,正确答案： A
129,学习马克思主义基本原理的根本方法( ),A、认真学习马克思主义的著作 B、一切只从实际出发 C、掌握马克思主义的立场、观点、方法 D、辩证思维 ,正确答案： C
130,习近平新时代中国特色社会主义思想为马克思主义的发展作出了（ ）,A、时代性贡献 B、时代性、原创性贡献 C、原创性贡献 D、科学性贡献 ,正确答案： B
131,当代大学生要树立科学的理想信念，自觉以（ ）作为自己的行动指南。,A、个人主义 B、自由主义 C、科学主义 D、马克思主义 ,正确答案： D
132,以科学的态度对待马克思主义，最重要的是要正确认识和处理（ ）的关系,A、部分与整体 B、过去与将来 C、真理与价值 D、坚持和发展 ,正确答案： D
